PLAYER_NAME,PER,TS%,USG%,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional,SEASON
Mikal Bridges,14.0,.585,19.6,5.7,.090,0.4,-0.9,-0.5,1.2,bridgmi01,2024-25
Josh Hart,16.5,.611,15.3,9.2,.153,1.1,1.8,2.8,3.6,hartjo01,2024-25
Anthony Edwards,20.1,.595,31.4,8.4,.140,4.4,0.0,4.3,4.6,edwaran01,2024-25
Devin Booker,19.3,.589,29.3,6.4,.111,2.8,-2.4,0.4,1.7,bookede01,2024-25
James Harden,20.0,.582,29.6,8.3,.143,3.5,0.8,4.3,4.4,hardeja01,2024-25
DeMar DeRozan,17.7,.569,25.0,7.1,.123,1.2,-1.2,-0.1,1.3,derozde01,2024-25
Trae Young,18.3,.567,29.6,5.7,.100,3.3,-2.7,0.5,1.7,youngtr01,2024-25
Tyler Herro,19.7,.605,28.0,7.4,.131,3.8,-0.7,3.1,3.5,herroty01,2024-25
OG Anunoby,15.4,.591,19.7,6.5,.116,0.7,0.1,0.7,1.9,anunoog01,2024-25
Jalen Green,15.1,.544,27.3,5.1,.092,1.1,-0.5,0.5,1.7,greenja05,2024-25
Christian Braun,16.0,.665,15.8,8.0,.144,0.8,-0.5,0.3,1.6,braunch01,2024-25
Bam Adebayo,18.9,.561,23.5,7.5,.135,1.0,1.0,2.0,2.7,adebaba01,2024-25
Ivica Zubac,22.3,.641,19.5,11.7,.215,2.3,0.8,3.1,3.4,zubaciv01,2024-25
Jayson Tatum,21.7,.582,31.2,9.5,.174,4.4,0.8,5.2,4.8,tatumja01,2024-25
Jaden McDaniels,13.3,.562,16.3,6.3,.115,-1.4,1.4,0.0,1.4,mcdanja02,2024-25
Keegan Murray,12.0,.553,15.0,4.4,.082,-0.8,-0.8,-1.6,0.2,murrake02,2024-25
Zach LaVine,17.3,.639,25.3,5.1,.094,2.3,-1.6,0.7,1.8,lavinza01,2024-25
Zach LaVine,18.4,.637,26.6,3.0,.101,2.7,-1.0,1.6,1.3,lavinza01,2024-25
Zach LaVine,15.9,.642,23.7,2.1,.086,1.8,-2.3,-0.4,0.5,lavinza01,2024-25
Shai Gilgeous-Alexander,30.7,.637,34.8,16.7,.309,8.9,2.6,11.5,8.9,gilgesh01,2024-25
Michael Porter Jr.,16.2,.617,20.2,6.4,.118,1.6,-1.7,-0.1,1.2,portemi01,2024-25
Derrick White,16.6,.606,19.8,8.5,.158,2.7,0.8,3.5,3.6,whitede01,2024-25
Dyson Daniels,15.6,.545,18.2,5.0,.093,-1.1,2.6,1.5,2.3,daniedy01,2024-25
Nikola Jokić,32.0,.663,29.5,16.4,.307,9.9,3.3,13.3,9.8,jokicni01,2024-25
Austin Reaves,18.1,.616,23.7,7.6,.144,2.4,-0.5,1.9,2.6,reaveau01,2024-25
Toumani Camara,12.5,.572,14.4,5.2,.097,-0.9,0.8,-0.1,1.2,camarto01,2024-25
Pascal Siakam,19.2,.599,24.2,7.5,.142,2.2,-0.5,1.7,2.4,siakapa01,2024-25
Brook Lopez,14.8,.624,15.8,6.6,.124,0.4,0.4,0.8,1.8,lopezbr01,2024-25
Karl-Anthony Towns,23.4,.630,27.4,10.1,.193,3.5,0.1,3.6,3.5,townska01,2024-25
Bub Carrington,9.0,.514,15.8,0.2,.005,-3.3,-1.3,-4.6,-1.6,carrica01,2024-25
Cade Cunningham,20.6,.565,33.2,5.9,.115,3.8,0.1,3.9,3.7,cunnica01,2024-25
Tyrese Haliburton,21.8,.616,21.6,10.4,.204,5.7,0.2,5.8,4.9,halibty01,2024-25
Coby White,15.5,.601,24.4,4.5,.088,0.5,-1.4,-0.9,0.7,whiteco01,2024-25
LeBron James,22.7,.604,30.1,7.7,.152,4.9,0.7,5.6,4.7,jamesle01,2024-25
Domantas Sabonis,22.9,.655,21.6,10.1,.199,4.2,1.1,5.2,4.4,sabondo01,2024-25
Jamal Murray,17.8,.584,24.0,6.2,.123,1.8,-1.0,0.8,1.7,murraja01,2024-25
Alperen Şengün,21.4,.545,26.2,8.3,.166,2.6,1.8,4.4,3.9,sengual01,2024-25
Dillon Brooks,11.0,.555,17.7,5.1,.103,-1.4,0.0,-1.4,0.4,brookdi01,2024-25
Rudy Gobert,18.3,.687,13.0,10.1,.204,0.6,1.3,1.9,2.4,goberru01,2024-25
Tobias Harris,13.9,.571,17.6,5.2,.108,-0.5,0.6,0.1,1.2,harrito02,2024-25
